Показатель ;Авторадио
GI;23203.1
Frequency;9.5
Index T/U Reach;100
GRP;211.44
TRP;211.44
RP Index;100
Spots;336
Reach  1+;2 444.47
Reach  2+;1 830.13
Reach  3+;1 511.29
Reach  4+;1 298.32
Reach  5+;1 140.20
Reach%  1+;22.28
Reach%  2+;16.68
Reach%  3+;13.77
Reach%  4+;11.83
Reach%  5+;10.39
