Показатель;Авторадио
GI;2847.3
Frequency;2.1
Index T/U Reach;100
GRP;25.9
TRP;25.9
RP Index;100
Spots;40
Reach  1+;1346.52
Reach  2+;624.68
Reach  3+;340.99
Reach  4+;199.43
Reach  5+;121.28
Reach%  1+;12.27
Reach%  2+;5.69
Reach%  3+;3.11
Reach%  4+;1.82
Reach%  5+;1.11
