ID;w;day_list;week_list;month_list
1000000201;0.8328;0;0;0
1000000202;1.4423;0;0;0
1000000203;1.2204;0;3;1
1000000204;0.813;1;2;1
1000000205;1.0935;0;0;0
1000000206;0.9159;1;5;1
1000000207;1.1453;1;4;1
1000000208;0.9021;0;0;0
1000000209;0.9113;0;0;0
1000000210;0.8057;0;1;1
1000000211;0.9403;0;1;1
1000000212;1.4329;0;0;0
1000000213;1.4051;1;7;1
1000000214;0.9397;0;1;1
1000000215;1.4009;0;3;1
1000000216;0.9024;0;0;0
1000000217;1.7577;0;0;1
1000000218;1.2961;0;0;0
1000000219;1.0185;0;0;0
1000000220;0.6396;0;1;1
1000000221;0.7541;1;3;1
1000000222;0.9115;0;0;0
1000000223;1.0694;0;0;0
1000000224;0.6556;0;0;1
1000000225;0.9819;0;0;1
1000000226;1.158;0;0;0
1000000227;0.9026;0;0;0
1000000228;0.8584;0;0;0
1000000229;1.2889;0;0;0
1000000230;0.5515;0;0;1
1000000231;0.9425;0;0;0
1000000232;1.0296;0;0;0
1000000233;0.6717;0;0;0
1000000234;0.9801;0;3;1
1000000235;0.6868;0;2;1
1000000236;0.9463;0;0;0
1000000237;0.7783;0;0;0
1000000238;1.023;0;0;0
1000000239;0.9024;0;0;0
1000000240;1.4471;0;1;1
1000000241;0.7877;0;0;0
1000000242;0.9051;0;1;1
1000000243;0.9589;0;0;1
1000000244;0.9875;0;0;0
1000000245;0.6094;0;0;1
1000000246;0.8239;0;0;0
1000000247;0.7675;0;2;1
1000000248;0.7495;0;0;0
1000000249;0.6403;0;0;0
1000000250;0.6265;1;6;1
1000000251;0.9425;0;5;1
1000000252;0.7481;0;0;0
1000000253;1.1554;0;0;0
1000000254;0.7965;0;0;0
1000000255;1.0178;0;1;1
1000000256;0.7602;0;0;0
1000000257;0.6841;0;0;0
1000000258;1.1691;0;0;0
1000000259;1.4537;1;5;1
1000000260;1.5997;0;0;0
1000000261;0.5952;0;0;0
1000000262;0.8357;1;7;1
1000000263;0.8892;0;0;0
1000000264;2.9882;0;2;1
1000000265;0.8637;0;0;1
1000000266;0.8918;0;0;0
1000000267;1.1424;1;2;1
1000000268;0.7784;0;0;0
1000000269;0.539;0;0;1
1000000270;1.4763;0;0;0
1000000271;0.805;0;0;0
1000000272;1.2717;0;0;0
1000000273;0.757;0;0;0
1000000274;1.6556;0;0;0
1000000275;1.0391;1;2;1
1000000276;1.7254;0;1;1
1000000277;0.9158;0;0;0
1000000278;0.8068;0;0;0
1000000279;0.5212;0;0;0
1000000280;1.2961;0;0;0
1000000281;1.2837;0;0;0
1000000282;0.6069;0;0;0
1000000283;0.944;0;0;0
1000000284;0.994;0;1;1
1000000285;0.9641;0;0;0
1000000286;1.0507;0;0;1
1000000287;0.7738;0;0;0
1000000288;0.7995;0;0;0
1000000289;0.8815;0;0;0
1000000290;1.6822;0;0;0
1000000291;1.0444;0;0;0
1000000292;0.847;0;0;0
1000000293;2.4187;0;0;0
1000000294;0.8424;0;4;1
1000000295;1.1284;0;1;1
1000000296;0.8293;0;0;0
1000000297;0.8527;0;0;1
1000000298;0.9979;0;0;1
1000000299;0.7799;1;3;1
1000000300;0.7991;0;0;0
1000000301;0.6972;0;0;0
1000000302;0.9688;0;0;0
1000000303;0.8928;0;0;0
1000000304;0.8591;0;3;1
1000000305;0.7339;0;0;0
1000000306;0.7542;0;0;0
1000000307;0.8575;0;1;1
1000000308;1.056;0;0;0
1000000309;0.6235;0;0;0
1000000310;0.5895;1;1;1
1000000311;1.0469;0;0;0
1000000312;0.9429;0;0;0
1000000313;0.9788;0;0;0
1000000314;1.2756;0;1;1
1000000315;1.0564;0;0;0
1000000316;0.8166;0;0;0
1000000317;1.3553;0;0;1
1000000318;1.042;0;0;0
1000000319;0.9709;0;0;0
1000000320;0.915;0;0;0
1000000321;1.0815;0;0;1
1000000322;0.7185;0;0;0
1000000323;0.7947;0;0;0
1000000324;1.2852;0;2;1
1000000325;1.3008;0;0;0
1000000326;0.7975;0;0;1
1000000327;1.5519;1;1;1
1000000328;1.0984;0;0;0
1000000329;0.9558;0;0;0
1000000330;1.3495;1;2;1
1000000331;0.8575;0;0;0
1000000332;1.2497;0;0;1
1000000333;0.7917;0;0;1
1000000334;0.7775;0;0;0
1000000335;0.7953;0;0;0
1000000336;1.2882;0;0;0
1000000337;3;0;0;1
1000000338;0.8157;0;0;0
1000000339;0.7534;0;0;0
1000000340;1.9985;1;2;1
1000000341;0.8803;0;0;1
1000000342;1.1365;1;6;1
1000000343;0.7362;0;0;0
1000000344;0.8851;0;0;0
1000000345;1.1602;0;0;0
1000000346;0.6227;0;0;1
1000000347;1.1869;0;0;0
1000000348;0.9986;0;1;1
1000000349;1.003;0;4;1
1000000350;0.4953;0;0;0
1000000351;0.7002;0;0;0
1000000352;0.9697;0;2;1
1000000353;2.2304;1;7;1
1000000354;1.642;0;0;0
1000000355;0.9194;0;0;1
1000000356;0.8478;0;0;0
1000000357;1.8821;0;3;1
1000000358;0.7133;0;0;0
1000000359;0.9197;0;0;0
1000000360;0.5853;0;1;1
1000000361;0.616;0;0;0
1000000362;1.5708;0;0;0
1000000363;1.616;0;0;0
1000000364;1.0513;0;0;1
1000000365;0.7152;0;0;1
1000000366;0.9001;0;0;0
1000000367;0.848;0;0;0
1000000368;1.0024;0;0;0
1000000369;0.671;0;1;1
1000000370;1.9317;0;0;0
1000000371;1.1155;0;0;0
1000000372;3;0;1;1
1000000373;1.0973;0;5;1
1000000374;0.7943;0;0;0
1000000375;1.0978;0;0;0
1000000376;0.7076;0;0;0
1000000377;0.9897;0;0;0
1000000378;1.1423;0;0;0
1000000379;0.8504;0;0;0
1000000380;0.9641;0;0;1
1000000381;0.9131;0;0;0
1000000382;1.29;0;1;1
1000000383;1.0124;0;0;0
1000000384;0.6303;0;2;1
1000000385;1.0373;0;0;0
1000000386;0.9218;0;0;0
1000000387;0.6751;0;1;1
1000000388;1.0229;0;1;1
1000000389;1.1234;0;0;0
1000000390;0.8925;0;0;0
1000000391;0.9739;0;0;0
1000000392;1.0024;0;0;0
1000000393;1.301;0;0;0
1000000394;0.7302;0;0;0
1000000395;0.8612;0;0;1
1000000396;0.9502;0;0;0
1000000397;0.9642;1;5;1
1000000398;0.9333;0;0;0
1000000399;0.6387;0;1;1
1000000400;0.9474;0;0;0
1000000401;1.2717;0;0;0
1000000402;0.7275;0;0;0
1000000403;0.5578;0;0;0
1000000404;1.2051;0;0;0
1000000405;0.8936;0;3;1
1000000406;0.6311;0;0;0
1000000407;0.9621;0;0;0
1000000408;1.2171;0;0;0
1000000409;1.1752;0;0;0
1000000410;0.8138;0;1;1
1000000411;0.939;0;0;0
1000000412;0.7512;0;0;0
1000000413;0.6214;0;0;1
1000000414;0.8756;0;0;1
1000000415;1.1715;0;0;0
1000000416;0.9279;0;4;1
1000000417;0.8;0;0;0
1000000418;0.8025;0;0;0
1000000419;0.5962;0;0;0
1000000420;0.9859;0;0;1
1000000421;1.3629;0;0;0
1000000422;1.3471;1;7;1
1000000423;0.6494;0;0;0
1000000424;0.637;0;0;0
1000000425;0.7602;0;0;0
1000000426;0.7758;0;0;0
1000000427;0.591;0;0;0
1000000428;0.9932;0;1;1
1000000429;0.8421;0;0;0
1000000430;0.8748;0;2;1
1000000431;0.8474;0;0;0
1000000432;0.7573;0;0;0
1000000433;1.126;0;2;1
1000000434;1.772;0;0;0
1000000435;0.7831;0;0;0
1000000436;0.6348;0;0;1
1000000437;0.8022;0;0;0
1000000438;1.2526;0;2;1
1000000439;1.1547;1;5;1
1000000440;1.2256;0;0;0
1000000441;1.3504;0;1;1
1000000442;0.7585;0;0;0
1000000443;1.0423;0;0;0
1000000444;0.6654;0;0;0
1000000445;0.9074;0;0;0
1000000446;1.8572;0;0;0
1000000447;1.3347;0;0;0
1000000448;0.5688;0;0;1
1000000449;1.0522;0;0;0
1000000450;0.8815;1;4;1
1000000451;0.9982;1;1;1
1000000452;0.8267;0;0;0
1000000453;1.1365;0;0;0
1000000454;1.1788;0;0;0
1000000455;1.4923;0;0;0
1000000456;0.9528;0;0;0
1000000457;0.8412;0;0;0
1000000458;2.1322;0;0;1
1000000459;0.899;0;0;0
1000000460;0.698;0;0;0
1000000461;1.1527;0;7;1
1000000462;1.1659;0;0;1
1000000463;0.9131;0;0;0
1000000464;1.3364;0;0;0
1000000465;0.8419;0;0;0
1000000466;1.2224;0;0;0
1000000467;1.0583;0;0;0
1000000468;1.1712;0;1;1
1000000469;1.1804;0;0;0
1000000470;0.6811;0;0;1
1000000471;1.3436;0;0;0
1000000472;0.7332;0;0;0
1000000473;0.5717;0;0;0
1000000474;0.8701;1;4;1
1000000475;2.0832;1;3;1
1000000476;0.5848;1;1;1
1000000477;0.5803;1;5;1
1000000478;1.2428;0;0;0
1000000479;0.824;0;0;0
1000000480;1.3958;0;0;0
1000000481;1.3664;0;1;1
1000000482;1.1223;0;0;0
1000000483;0.7897;0;0;0
1000000484;0.8421;0;0;0
1000000485;0.949;0;0;0
1000000486;0.905;0;1;1
1000000487;1.9383;1;2;1
1000000488;0.698;0;0;0
1000000489;1.0157;0;0;0
1000000490;0.851;0;0;1
1000000491;1.0185;0;0;0
1000000492;0.9312;0;0;0
1000000493;1.2238;0;0;0
1000000494;0.8192;0;0;0
1000000495;1.1069;0;0;0
1000000496;0.9988;0;1;1
1000000497;1.1823;0;0;0
1000000498;0.9542;0;0;0
1000000499;0.7114;0;0;0
1000000500;1.0161;1;7;1
1000000501;1.433;0;0;0
1000000502;1.0435;0;0;0
1000000503;0.767;0;0;0
1000000504;0.9465;0;1;1
1000000505;0.762;0;0;0
1000000506;1.3664;0;0;0
1000000507;0.9858;0;3;1
1000000508;1.6927;0;0;0
1000000509;0.7292;0;0;0
1000000510;0.7266;0;0;0
1000000511;1.3841;0;4;1
1000000512;1.1136;0;0;0
1000000513;1.2542;0;0;0
1000000514;0.8009;0;0;0
1000000515;0.8218;0;0;0
1000000516;0.6325;0;0;0
1000000517;0.7707;0;0;0
1000000518;0.7557;0;0;0
1000000519;1.0985;0;0;0
1000000520;0.8085;0;1;1
1000000521;0.9771;0;0;0
1000000522;0.9092;0;1;1
1000000523;1.0123;0;0;0
1000000524;1.0437;0;2;1
1000000525;0.7145;0;0;0
1000000526;1.0378;0;0;0
1000000527;1.4741;0;0;0
1000000528;0.5966;0;0;0
1000000529;0.8738;0;5;1
1000000530;0.9463;0;0;0
1000000531;0.9853;0;0;0
1000000532;1.2982;0;7;1
1000000533;1.3645;0;0;1
1000000534;1.1502;0;0;1
1000000535;0.9422;1;7;1
1000000536;1.0648;0;0;0
1000000537;1.1379;0;0;0
1000000538;1.148;0;0;0
1000000539;1.0107;0;0;0
1000000540;1.0621;0;0;0
1000000541;0.8979;0;0;0
1000000542;0.853;0;0;1
1000000543;0.9977;0;0;0
1000000544;0.9003;0;4;1
1000000545;0.8974;0;0;0
1000000546;0.8735;0;0;0
1000000547;1.2327;0;0;0
1000000548;1.1489;0;0;1
1000000549;2.3667;1;1;1
1000000550;1.7526;1;2;1
1000000551;0.9032;0;0;0
1000000552;1.2575;0;0;1
1000000553;0.5229;0;0;0
1000000554;0.8937;0;0;0
1000000555;1.4351;0;1;1
1000000556;0.9763;0;0;1
1000000557;0.7656;0;0;0
1000000558;0.9866;0;0;0
1000000559;1.2814;0;0;0
1000000560;1.5978;1;6;1
1000000561;0.9396;0;0;0
1000000562;0.8439;0;0;0
1000000563;0.7805;0;0;0
1000000564;0.8114;0;0;0
1000000565;0.5943;0;0;0
1000000566;0.9834;0;0;0
1000000567;0.7419;0;0;0
1000000568;0.7322;0;0;0
1000000569;0.5592;0;0;0
1000000570;1.0845;0;0;0
1000000571;0.6076;0;0;0
1000000572;0.8655;1;6;1
1000000573;0.8597;0;2;1
1000000574;0.7102;0;0;0
1000000575;1.2118;0;0;0
1000000576;1.2662;0;4;1
1000000577;0.686;0;0;0
1000000578;0.6754;0;0;0
1000000579;0.7035;0;0;0
1000000580;1.0621;0;0;0
1000000581;1.2189;0;6;1
1000000582;0.7106;0;0;0
1000000583;0.9787;0;0;0
1000000584;0.7381;0;4;1
1000000585;1.4043;0;0;1
1000000586;0.8964;0;0;0
1000000587;0.5297;0;0;0
1000000588;1.0052;1;7;1
1000000589;0.8704;0;5;1
1000000590;0.7323;0;0;0
1000000591;1.3438;0;2;1
1000000592;0.9957;0;0;0
1000000593;1.568;0;0;0
1000000594;0.8252;0;0;0
1000000595;0.8361;0;0;0
1000000596;0.8667;0;0;0
1000000597;0.8921;0;3;1
1000000598;0.9189;0;0;0
1000000599;1.0439;0;0;1
1000000600;0.8205;0;0;0
1000000601;0.7693;0;0;0
1000000602;1.1072;0;0;0
1000000603;0.9533;0;0;0
1000000604;0.9789;0;7;1
1000000605;0.9036;0;0;0
1000000606;0.9679;0;4;1
1000000607;1.2033;0;1;1
1000000608;0.6416;0;0;0
1000000609;0.8192;0;0;0
1000000610;0.7567;0;0;0
1000000611;1.0721;0;0;0
1000000612;0.9071;0;0;0
1000000613;0.919;0;0;1
1000000614;0.9862;0;0;0
1000000615;0.6423;0;1;1
1000000616;1.1423;0;0;0
1000000617;1.4644;0;1;1
1000000618;0.8047;0;0;0
1000000619;1.4267;0;0;0
1000000620;0.9153;0;0;1
1000000621;1.0682;0;1;1
1000000622;0.6876;0;0;0
1000000623;0.8331;0;0;0
1000000624;1.2379;0;0;0
1000000625;0.593;0;0;0
1000000626;0.7595;0;0;0
1000000627;2.6399;0;0;1
1000000628;1.2447;0;1;1
1000000629;0.639;0;0;0
1000000630;0.7954;0;0;0
1000000631;1.0524;0;3;1
1000000632;0.7042;0;0;0
1000000633;1.8572;0;0;0
1000000634;0.8095;0;0;0
1000000635;1.5186;0;1;1
1000000636;2.1316;0;3;1
1000000637;0.6615;0;0;0
1000000638;1.1831;0;0;0
1000000639;1.1126;0;0;0
1000000640;1.0059;0;0;0
1000000641;1.4469;0;0;0
1000000642;1.1598;0;0;0
1000000643;1.7049;1;4;1
1000000644;1.2236;0;0;1
1000000645;1.2306;0;0;0
1000000646;0.629;0;0;0
1000000647;1.08;0;0;0
1000000648;0.6624;0;1;1
1000000649;0.9187;0;0;0
1000000650;0.8511;1;4;1
1000000651;0.6058;0;0;0
1000000652;1.1069;0;2;1
1000000653;0.585;0;0;0
1000000654;1.7704;0;0;1
1000000655;0.8119;0;0;1
1000000656;0.948;0;0;1
1000000657;0.6231;0;0;0
1000000658;1.081;1;2;1
1000000659;0.825;1;2;1
1000000660;1.1761;0;0;0
1000000661;0.7777;0;0;0
1000000662;0.6478;0;0;0
1000000663;0.5506;0;1;1
1000000664;1.0122;0;0;0
1000000665;0.7734;0;0;0
1000000666;0.8531;1;7;1
1000000667;0.8605;1;1;1
1000000668;0.7014;0;0;0
1000000669;1.0817;0;1;1
1000000670;0.661;0;0;0
1000000671;0.6751;0;0;0
1000000672;1.0123;1;1;1
1000000673;0.6894;0;0;0
1000000674;0.5693;0;0;1
1000000675;0.8869;1;6;1
1000000676;1.0058;0;0;0
1000000677;0.6337;0;0;1
1000000678;0.6509;0;0;1
1000000679;1.0059;0;1;1
1000000680;1.1674;0;0;0
1000000681;0.825;0;0;0
1000000682;0.5983;0;0;0
1000000683;1.4862;0;0;1
1000000684;1.15;0;0;0
1000000685;1.3162;0;0;0
1000000686;0.7086;0;0;0
1000000687;1.075;1;3;1
1000000688;0.7965;0;2;1
1000000689;2.3621;0;6;1
1000000690;0.7504;0;0;0
1000000691;0.9502;0;0;0
1000000692;0.9642;0;1;1
1000000693;1.009;0;0;0
1000000694;0.6163;0;0;0
1000000695;1.3443;0;0;0
1000000696;0.801;0;0;1
1000000697;0.8438;0;0;0
1000000698;1.0621;0;2;1
1000000699;0.9906;1;1;1
1000000700;0.781;1;2;1
1000000701;0.7376;0;0;0
1000000702;1.0214;0;0;0
1000000703;0.8372;0;0;0
1000000704;1.6791;0;0;1
1000000705;0.8992;0;0;1
1000000706;0.781;0;0;0
1000000707;0.8215;0;0;0
1000000708;0.9189;0;1;1
1000000709;0.9585;0;0;0
1000000710;1.3124;0;0;0
1000000711;0.8026;0;0;0
1000000712;1.0662;0;2;1
1000000713;1.3274;1;1;1
1000000714;1.5835;0;6;1
1000000715;0.8434;0;1;1
1000000716;0.9643;0;0;1
1000000717;0.8526;0;0;0
1000000718;1.8777;0;2;1
1000000719;2.7128;0;0;0
1000000720;1.9155;0;0;1
1000000721;0.7371;0;0;0
1000000722;1.2611;0;0;0
1000000723;0.6889;0;0;0
1000000724;1.0127;0;0;0
1000000725;1.1191;0;0;0
1000000726;1.0261;0;0;1
1000000727;0.8442;0;0;0
1000000728;1.5753;0;0;1
1000000729;1.7449;0;0;0
1000000730;0.7847;0;2;1
1000000731;0.8009;0;0;0
1000000732;0.8066;0;0;0
1000000733;0.9851;0;0;0
1000000734;0.5853;0;0;0
1000000735;0.6861;0;0;1
1000000736;1.0933;0;0;0
1000000737;1.0839;0;0;0
1000000738;0.5411;0;0;0
1000000739;0.9565;0;0;1
1000000740;0.7086;0;0;0
1000000741;2.0497;1;2;1
1000000742;0.6525;0;0;0
1000000743;0.5202;0;0;0
1000000744;0.9422;0;0;0
1000000745;1.2891;0;0;1
1000000746;1.0263;1;3;1
1000000747;0.8677;0;0;0
1000000748;0.836;0;1;1
1000000749;1.259;0;0;0
1000000750;0.9632;0;0;1
1000000751;1.1946;0;0;0
1000000752;0.9859;0;0;0
1000000753;0.8091;0;0;0
1000000754;0.9669;0;0;0
1000000755;1.0021;1;7;1
1000000756;0.5225;0;0;0
1000000757;1.5288;0;0;1
1000000758;0.6804;0;0;0
1000000759;1.2377;0;0;1
1000000760;1.3662;1;7;1
1000000761;0.9353;0;0;0
1000000762;0.6901;1;5;1
1000000763;0.69;1;1;1
1000000764;1.0348;0;0;0
1000000765;0.7516;0;0;0
1000000766;1.6234;0;0;0
1000000767;1.0607;0;0;0
1000000768;1.4517;0;0;0
1000000769;0.877;0;0;0
1000000770;0.8237;0;0;0
1000000771;1.6846;0;0;0
1000000772;0.8805;1;7;1
1000000773;0.532;0;0;1
1000000774;1.7464;0;0;0
1000000775;0.7348;0;2;1
1000000776;1.8119;0;0;0
1000000777;0.8177;0;0;0
1000000778;1.2453;0;0;0
1000000779;0.8712;0;0;0
1000000780;1.0123;0;0;0
1000000781;0.9703;1;2;1
1000000782;1.257;0;0;0
1000000783;0.9645;0;0;0
1000000784;1.4365;1;6;1
1000000785;0.9724;0;0;0
1000000786;0.8672;0;0;0
1000000787;0.7193;0;0;0
1000000788;0.8712;1;5;1
1000000789;1.8921;0;0;0
1000000790;0.6766;0;0;0
1000000791;0.8714;0;0;0
1000000792;0.5813;0;0;0
1000000793;1.8509;0;0;0
1000000794;0.8892;0;0;1
1000000795;0.6043;0;0;0
1000000796;0.9019;0;0;1
1000000797;0.7468;0;0;0
1000000798;1.0131;0;0;0
1000000799;0.6713;0;0;1
1000000800;1.7363;0;0;0
1000000801;1.2997;0;0;0
1000000802;1.1059;0;0;1
1000000803;1.2411;0;2;1
1000000804;0.9871;0;0;1
1000000805;0.5823;0;0;0
1000000806;1.1872;0;0;0
1000000807;1.0838;0;0;0
1000000808;0.8021;0;0;0
1000000809;0.5731;0;0;0
1000000810;1.0587;0;0;0
1000000811;1.3441;0;0;0
1000000812;2.3452;0;0;0
1000000813;0.9043;0;0;1
1000000814;0.8385;0;1;1
1000000815;0.8794;0;0;0
1000000816;1.071;0;0;0
1000000817;1.1661;1;1;1
1000000818;0.605;0;0;0
1000000819;0.6461;0;0;0
1000000820;1.1388;0;0;0
1000000821;0.7787;0;6;1
1000000822;0.5229;0;0;0
1000000823;0.6932;0;1;1
1000000824;0.975;0;0;0
1000000825;0.8452;0;0;0
1000000826;1.0045;0;0;0
1000000827;1.3283;0;0;0
1000000828;1.29;0;0;0
1000000829;0.6438;0;0;0
1000000830;1.1339;0;0;0
1000000831;1.2542;0;1;1
1000000832;2.0466;1;1;1
1000000833;0.8034;0;0;1
1000000834;1.2662;0;1;1
1000000835;0.8759;0;0;0
1000000836;0.8507;0;1;1
1000000837;0.9186;0;0;1
1000000838;1.1554;0;0;0
1000000839;1.0124;0;0;0
1000000840;0.9049;0;0;0
1000000841;0.8342;0;0;0
1000000842;0.7986;0;0;0
1000000843;1.1025;0;0;0
1000000844;0.9452;0;0;0
1000000845;1.3697;0;0;0
1000000846;1.207;0;0;0
1000000847;1.7977;0;0;0
1000000848;1.2514;0;0;0
1000000849;1.5278;0;0;0
1000000850;0.8481;0;0;0
1000000851;0.7991;0;0;0
1000000852;0.9444;1;7;1
1000000853;0.8215;0;1;1
1000000854;1.8804;0;0;1
1000000855;1.0015;0;0;0
1000000856;1.0454;0;1;1
1000000857;0.9393;1;2;1
1000000858;0.9149;0;0;1
1000000859;1.0218;0;0;0
